종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
-0.6,-14.96,1.43,0.0,0,0,46.91,0
1.21,-25.38,0.6,1.2,0,0,49.69,0
-2.48,9.31,1.55,0.48,0,0,50.0,1
0.24,-15.93,0.94,1.42,1,0,47.74,0
1.69,-6.22,2.31,0.83,1,0,59.68,1
1.22,-29.2,0.48,2.41,0,0,53.62,1
-2.03,24.34,3.53,0.0,0,1,49.32,1
-2.22,20.58,2.22,0.6,0,1,53.46,0
-1.27,-20.36,2.39,0.0,0,1,60.12,0
-3.02,21.72,2.8,0.23,0,0,60.12,0
3.0,-11.68,0.56,3.47,0,0,62.3,0
-1.48,21.9,3.23,0.0,0,0,56.44,1
1.03,0.42,0.56,1.82,1,0,67.2,0
0.23,-36.81,2.02,0.8,1,0,62.03,1
2.35,-7.71,1.14,3.91,0,0,60.75,1
-3.41,29.3,2.63,1.06,0,1,53.73,1
-1.9,26.66,4.14,0.0,0,0,62.44,0
0.0,-26.82,0.33,1.11,0,0,61.75,0
-0.99,-25.91,1.64,0.67,0,1,62.33,0
-0.44,-46.09,0.88,3.09,0,0,68.1,0
2.48,53.03,5.99,1.65,1,0,72.06,0
7.12,80.77,1.33,6.53,1,0,62.2,1
0.85,-22.44,1.54,0.24,0,0,44.58,1
-2.03,19.11,2.72,0.12,0,0,40.82,1
1.08,-8.59,0.0,2.74,1,0,38.3,0
2.47,31.4,1.66,3.37,1,0,41.28,1
3.45,-3.04,0.37,4.57,0,0,34.22,1
-0.51,-24.31,0.76,1.28,0,0,31.69,1
1.16,23.33,1.75,0.64,1,0,33.06,0
5.28,67.44,1.27,4.88,1,0,34.62,1
2.21,19.05,0.14,2.17,0,0,20.99,1
-0.96,-19.95,1.23,0.28,0,0,14.05,1
0.0,15.64,0.54,1.37,0,0,16.47,0
-0.41,-27.5,0.95,0.0,0,1,13.33,0
-0.68,38.72,0.54,0.95,0,0,12.97,0
0.0,-16.06,0.94,0.54,0,0,16.22,0
0.0,-3.01,0.4,0.68,0,0,22.09,0
